date,identifier,tweets
2022-01-28 07:06:21+00:00,c,"Watch Santanu Sengupta, our India economist, share his economic outlook for India ahead of the country’s FY23 budget on @BloombergTV. https://t.co/FE6bKsHZ4O https://t.co/egDiwYzrd6"
2022-01-27 22:30:07+00:00,c,"The Climate Innovation Fund leverages @BloombergDotOrg data alongside Goldman Sachs capital, accelerating product development to support climate transition.

Learn more in our Accelerating Climate Transition report: https://t.co/nXf7gnVejm #GSsustainability https://t.co/P6YGs3otyx"
2022-01-27 20:30:01+00:00,c,"We’re proud to have participated in @HRC’s 2022 Corporate Equality Index placing us as one of the Best Places to Work for LGBTQ+ Equality. 

We’re committed to supporting a diverse workforce and strive to foster an inclusive work environment: https://t.co/LTUZbEgIvD #CEI2022 https://t.co/Iggik4x5lf"
2022-01-26 19:42:40+00:00,c,"The growth of ESG has been remarkable in the past year as about 40% of equity fund flows went to the ESG market, said John Goldstein, head of Sustainable Finance Group, at our virtual Global Macro Conference APAC today. 

More on our Carbonomics insights: https://t.co/pPDxAME8IV https://t.co/x4Z8qqBCeW"
2022-01-26 12:23:44+00:00,c,"Sharon Bell, senior strategist, spoke about the importance of diversity at our virtual Global Macro Conference APAC, noting that European stocks with increased gender balances have outperformed since 2008.

Learn more about our Womenomics insights: https://t.co/2JzSkrEm1Y https://t.co/7S4Lm57aaf"
2022-01-26 11:28:09+00:00,c,"In our virtual Global Macro Conference APAC, chief global equity strategist Peter Oppenheimer explains why the key for equity valuations will be how much the shift in expectations for interest rates and financial conditions affect growth. @BloombergTV https://t.co/vjwlhfoXjW https://t.co/iEnBlOXQTQ"
2022-01-26 09:30:19+00:00,c,"In our virtual Global Macro Conference APAC today, Naohiko Baba, our chief Japan economist, highlighted Japan’s growth outlook as the government expands its quasi-state of emergency. 

More on economic outlooks: https://t.co/r2NQRHyDZ8 https://t.co/2YBxTkvht9"
2022-01-26 06:33:24+00:00,c,"Watch Jeff Currie, our global head of commodities research, discuss his outlook for commodities amidst inflationary pressure, rate hikes, and heightened geopolitical risks with @BloombergTV from the sideline of our virtual Global Macro Conference APAC. https://t.co/nwf0IvgiDU https://t.co/oA3pMGPsL9"
2022-01-25 21:11:45+00:00,c,".@DiversityWoman announced its Class of 2022 Elite 100 list of Black women leaders, including 3 of our remarkable leaders here at $GS. Congratulations to @margaretanadu, Pamela Codo-Lotti, and Megan Hogan on this well-deserved recognition! See the list: https://t.co/EPCncsFmLH https://t.co/lFrIy21nye"
2022-01-25 19:00:13+00:00,c,What’s behind the tech sector sell-off? $GS Research’s David Kostin explains why some stocks are being punished more severely than others in an Exchanges at Goldman Sachs: https://t.co/dKvOKvpO6c https://t.co/cIZ6HBzua7
2022-01-25 13:08:17+00:00,c,"Jan Hatzius, our chief economist and head of Global Investment Research, discusses key factors affecting global economic growth at our virtual Global Macro Conference APAC today.

Learn more about insights shared by our economists and experts: https://t.co/LwKJhXrUv4 https://t.co/bsSd9eREOz"
2022-01-25 08:36:35+00:00,c,We kicked off our virtual Global Macro Conference APAC today with our chief US equity strategist David Kostin discussing recent volatility and his markets outlook with @BloombergTV. https://t.co/T3snvEdCXc https://t.co/rPb8gGuofP
2022-01-24 04:02:07+00:00,c,"Watch Sho Kawano, $GS' co-head of Japan Equity Research, discuss his latest research on Japan’s green consumers and the investment opportunities around responsible consumption on @CNBC: https://t.co/L5hnvRow3y"
