date,identifier,tweets
2022-01-27 13:30:24+00:00,c,"2022 is likely to bring fresh challenges for the U.S.-China dynamic. Investors can expect an increase in non-tariff barriers and continued commitment to re- and near-shoring of supply chains in the US.

Read more about this episode: https://t.co/3tlmcOZnKc https://t.co/C1l9r7D4FI"
2022-01-26 23:05:02+00:00,c,Have an @Alexa99-enabled device? Add Thoughts on the Market to your Flash Briefing. Learn how: https://t.co/Yk5cXDNRt8 https://t.co/RAjP5tDYK8
2022-01-26 16:03:14+00:00,c,The Omicron variant kicked 2022 off with another round of school closures and work from home orders. Our AIP Hedge Fund Solutions team explains how coronavirus will continue to change market risk in the upcoming year: https://t.co/xr5TNNV4cW https://t.co/dpKRXaTTYz
2022-01-25 17:52:35+00:00,c,"Whether it is panic selling, hiding out in cash, or trading frantically, investors tend to make several mistakes that can hurt them in volatile markets. Here’s how to avoid the most common bad behaviors. https://t.co/3vum8vc6t5"
2022-01-25 14:00:28+00:00,c,All eyes are on the Fed as they implement a sharp pivot to account for higher inflation being felt by consumers and businesses alike. With these shifts we turn our attention to the ‘Ice’ portion of our ‘Fire &amp; Ice’ narrative: slowing growth. https://t.co/oDlSsWW5KF https://t.co/45LqUT8Q7p
2022-01-24 13:35:01+00:00,c,The submission portal for the 2022 Sustainable Investing Challenge opens on January 31! Check out our latest webinar recording for tips on how to make your team's prospectus shine: https://t.co/m47qrF88Wd https://t.co/u1cdKydqaX
2022-01-23 12:00:27+00:00,c,"Higher levels of inflation have made it a hot topic among investors. While inflation’s effects cannot be avoided completely, there are some strategies than can help protect against the worst of them.

Read more about this episode: https://t.co/w6gHyEaOG3 https://t.co/plop1XDkuG"
2022-01-22 21:25:01+00:00,c,"After decades of development, drones are finally making it to the enterprise space. Our experts discuss the technology’s evolution and industry disrupting potential. https://t.co/N6QQX5Rwoq https://t.co/7Ei70rrQLV"
2022-01-21 15:00:56+00:00,c,"The foundation for the housing market remains healthy, with responsible lending standards &amp; a tight supply environment, but, as the year continues, affordability challenges and a more hawkish Fed will likely slow appreciation and dampen housing activity. https://t.co/6QDp1CJTk8 https://t.co/3UreG2w0G9"
2022-01-21 00:26:00+00:00,c,A novel retail investment product to help drive economic integration of refugees won the 2020 Sustainable Investing Challenge. Learn more and get excited for this year. https://t.co/dnelm9sHCO
