cnbc_score,elon_score,finance_score,jim_score,squawk_score,wsj_score,yahoo_score,BUY,SELL
-0.51961184,0.5029725,-0.5285116,0,0,-0.5401008,0.54068065,1,0
-0.54833263,0.60426307,-0.5475979,-0.5326473,-0.50575686,-0.52691,-0.54084134,0,1
0.5895384,0,0,0,-0.50575686,-0.52238977,0,0,1
-0.5239189,-0.5362457,0,0,0,-0.531673,0.61598235,1,0
-0.53138304,0,0.5082951,0,0.5385708,-0.5065925,-0.54328704,1,0
-0.550152,0,0,0,0,-0.5334982,-0.5319193,0,0
-0.550152,0,0,0,0,-0.51846385,0,0,0
-0.53046995,0,0,0,0,0,-0.53058726,0,1
-0.5353329,0,0,0,0,0,-0.5030698,0,1
-0.53484094,0.5183111,0,0,0,0,0,0,1
-0.5307753,0,0,0,-0.50955665,0,0,1,0
0.51916665,0.50485724,0,0,0,0,0,0,0
-0.5316679,0.5936966,0,0,0,0,0.5038974,0,0
0.5380343,0.5608852,0,0,0,0,-0.5030919,0,0
0.5641352,0.5444305,-0.51557916,0,0,0,-0.540176,1,0
-0.5198542,-0.50994384,0,0,0,0,0,0,1
-0.5131942,0.52796185,0,0,0,0,0.5401789,1,0
0,0,0,0,-0.5077158,0,0.5385594,1,0
0,0,0.5211004,0,-0.5159585,0,0.5385594,1,0
0,0,0,0,0,0,-0.53589785,0,0
0,-0.5036955,0,0,0,0,0,0,0
0,0.56622684,-0.5202527,0,0,0,-0.53137726,0,1
0,0,0,-0.52153075,0,0,-0.53137726,0,1
0,0,0,0,0,0,-0.5126686,0,1
0,0,0,0,-0.52365243,0,0.5153092,0,1
0,-0.50197184,0.5222361,0,0.59183174,0,-0.5457084,1,0
0,-0.51220644,0.5267144,0,0,0,0.5038619,0,0
0,0.60426307,0,0,0,0,0,0,0
